NATURALIST OBSERVATORY: TAXONOMY CENSUS
=======================================

[PRODUCERS FOUND]: 106
SYS             | SIG                  | VIA             | LOCATION
    -> Expected by: observatory/scenarios/test/query_test.md
    -> Expected by: observatory/scenarios/test/query_test.md
  - ...: ...
    -> Expected by: species/hippolyzer-client/0.17.0/README.md
  - Logout: Initiate
    -> Expected by: observatory/scenarios/benthic.md
  - SYSTEM: SIGNAL
    -> Expected by: instruments/mimic/README.md

[BAD TELEPLAY SUSPECTS]
Checking for verification of 'Sent' signals (checking Intent instead of Effect)...
  (None found based on heuristics)
